USERID,TYPE,ACCESS,ALLOWED,CREATEDBY,CREATEDDAT
1790,MODULE,BILLING,True,1790,2024-09-30 10:14:09
1790,MODULE,COLLECTION,True,1790,2024-09-30 10:14:09
1790,MODULE,DISPATCH,True,1790,2024-09-30 10:14:09
1790,MODULE,MAINTENANCE,True,1790,2024-09-30 10:14:09
1790,MODULE,REPORTS,True,1790,2024-09-30 10:14:09
1790,FILE,USERFILE,True,1790,2024-09-30 10:14:09
2265,MODULE,BILLING,True,0000,2024-10-08 17:18:35.999000
2265,MODULE,COLLECTION,True,0000,2024-10-08 17:18:35.999000
2265,MODULE,MAINTENANCE,True,0000,2024-10-08 17:18:35.999000
2265,MODULE,REPORTS,True,0000,2024-10-08 17:18:35.999000
2265,FILE,USERFILE,True,0000,2024-10-08 17:18:35.999000
9039,MODULE,DISPATCH,True,0000,2024-10-15 14:55:00
9039,MODULE,MAINTENANCE,True,0000,2024-10-15 14:55:00
9039,MODULE,REPORTS,True,0000,2024-10-15 14:55:00
9039,FILE,PORT,True,0000,2024-10-15 14:55:00
9039,FILE,TUGBOAT,True,0000,2024-10-15 14:55:00
9039,FILE,TUGMASTER,True,0000,2024-10-15 14:55:00
9039,FILE,USERFILE,True,0000,2024-10-15 14:55:00
9039,FILE,VESSEL,True,0000,2024-10-15 14:55:00
1790,MODULE,TARIFF,True,0000,2024-10-21 13:18:31.999000
1790,FILE,RATE,True,0000,2024-10-21 13:18:31.999000
1790,FILE,CUSTOMER,True,0000,2024-10-22 11:19:34
1790,FILE,PORT,True,0000,2024-10-22 11:19:34
1790,FILE,TUGBOAT,True,0000,2024-10-22 11:19:34
1790,FILE,TUGMASTER,True,0000,2024-10-22 11:19:34
1790,FILE,USERACCESS,True,0000,2024-10-22 11:19:34
1790,FILE,VESSEL,True,0000,2024-10-22 11:19:34
9052,MODULE,REPORTS,True,0000,2024-11-06 12:02:48
9052,MODULE,TARIFF,True,0000,2024-11-06 12:02:48
9001,MODULE,TARIFF,True,0000,2024-11-07 15:31:39.999000
9001,FILE,RATE,True,0000,2024-11-07 15:31:39.999000
9028,MODULE,MAINTENANCE,True,0000,2024-11-07 15:41:55.999000
9028,MODULE,REPORTS,True,0000,2024-11-07 15:41:55.999000
9028,MODULE,TARIFF,True,0000,2024-11-07 15:41:55.999000
9028,FILE,USERFILE,True,0000,2024-11-07 15:41:55.999000
2552,MODULE,BILLING,True,0000,2024-11-07 16:00:59.999000
2552,MODULE,COLLECTION,True,0000,2024-11-07 16:00:59.999000
2552,MODULE,MAINTENANCE,True,0000,2024-11-07 16:00:59.999000
2552,MODULE,REPORTS,True,0000,2024-11-07 16:00:59.999000
2552,MODULE,TARIFF,True,0000,2024-11-07 16:00:59.999000
2552,FILE,CUSTOMER,True,0000,2024-11-07 16:00:59.999000
2265,MODULE,DISPATCH,True,1790,2024-11-19 17:03:45.999000
2265,MODULE,TARIFF,True,1790,2024-11-19 17:03:45.999000
9028,MODULE,BILLING,True,1790,2024-11-19 17:40:04
9028,MODULE,COLLECTION,True,1790,2024-11-19 17:40:04
9028,MODULE,DISPATCH,True,1790,2024-11-19 17:40:04
9028,FILE,CUSTOMER,True,1790,2024-11-19 17:40:04
9028,FILE,RATE,True,1790,2024-11-19 17:40:04
2265,FILE,CUSTOMER,True,1790,2024-11-19 17:47:51
2265,FILE,RATE,True,1790,2024-11-19 17:47:51
9039,FILE,CUSTOMER,True,1790,2025-01-20 10:41:07
2265,FILE,PORT,True,1790,2025-04-23 11:22:20.999000
2265,FILE,TUGBOAT,True,1790,2025-04-25 14:34:04.999000
2265,FILE,TUGMASTER,True,1790,2025-04-25 14:34:04.999000
2265,FILE,VESSEL,True,1790,2025-04-25 14:34:05.999000
2436,MODULE,BILLING,True,1790,2025-05-29 08:58:43
2436,MODULE,COLLECTION,True,1790,2025-05-29 08:58:43
2436,MODULE,DISPATCH,True,1790,2025-05-29 08:58:43
2436,MODULE,MAINTENANCE,True,1790,2025-05-29 08:58:43
2436,MODULE,REPORTS,True,1790,2025-05-29 08:58:43
2436,MODULE,TARIFF,True,1790,2025-05-29 08:58:43
2436,FILE,CUSTOMER,True,1790,2025-05-29 08:58:43
2436,FILE,PORT,True,1790,2025-05-29 08:58:43
2436,FILE,RATE,True,1790,2025-05-29 08:58:43
2436,FILE,TUGBOAT,True,1790,2025-05-29 08:58:43
2436,FILE,TUGMASTER,True,1790,2025-05-29 08:58:43
2436,FILE,USERACCESS,False,1790,2025-05-29 08:58:43
2436,FILE,VESSEL,True,1790,2025-05-29 08:58:43
2436,FILE,USERFILE,True,1790,2025-05-29 08:58:52
2610,MODULE,DISPATCH,True,1790,2025-07-12 14:36:43
2610,MODULE,MAINTENANCE,True,1790,2025-07-12 14:36:43
2610,MODULE,REPORTS,True,1790,2025-07-12 14:36:43
2610,FILE,CUSTOMER,True,1790,2025-07-12 14:37:14
2610,FILE,PORT,True,1790,2025-07-12 14:37:14
2610,FILE,TUGBOAT,True,1790,2025-07-12 14:37:14
2610,FILE,TUGMASTER,True,1790,2025-07-12 14:37:14
2610,FILE,USERFILE,True,1790,2025-07-12 14:37:14
2610,FILE,VESSEL,True,1790,2025-07-12 14:37:14
